ID,Country,Latitude,Longitude,ground_surface_elevation_m,parameter_type,unit,unique_well_id
10008402,AUS,-35.1006926,147.3692743,,Water depth [from the ground surface],m,AUS_10008402
10008439,AUS,-34.6736638,145.6233507,,Water depth [from the ground surface],m,AUS_10008439
10008442,AUS,-30.7612066,150.0366945,,Water depth [from the ground surface],m,AUS_10008442
10008450,AUS,-33.8279194,142.0287194,,Water depth [from the ground surface],m,AUS_10008450
10008455,AUS,-28.9845314,150.38622,,Water depth [from the ground surface],m,AUS_10008455
10008537,AUS,-32.5400955,142.1740301,,Water depth [from the ground surface],m,AUS_10008537
10008575,AUS,-29.0763406,150.3514556,,Water depth [from the ground surface],m,AUS_10008575
10008576,AUS,-32.3955,150.5796,,Water depth [from the ground surface],m,AUS_10008576
10008753,AUS,-28.9048719,150.339955,,Water depth [from the ground surface],m,AUS_10008753
10008766,AUS,-34.62768,145.96701,,Water depth [from the ground surface],m,AUS_10008766
10008814,AUS,-31.9854644,150.8144863,,Water depth [from the ground surface],m,AUS_10008814
10008821,AUS,-30.2212102,149.491699,,Water depth [from the ground surface],m,AUS_10008821
10008892,AUS,-32.3296611,142.2836055,,Water depth [from the ground surface],m,AUS_10008892
10009034,AUS,-35.1037285,147.4948138,,Water depth [from the ground surface],m,AUS_10009034
10009056,AUS,-30.5573179,149.991693,,Water depth [from the ground surface],m,AUS_10009056
10009057,AUS,-34.8595774,145.7469149,,Water depth [from the ground surface],m,AUS_10009057
10009063,AUS,-31.164531,150.424747,,Water depth [from the ground surface],m,AUS_10009063
10009076,AUS,-34.6654242,145.9076685,,Water depth [from the ground surface],m,AUS_10009076
10009122,AUS,-32.5079,149.5708,,Water depth [from the ground surface],m,AUS_10009122
10009228,AUS,-33.4778641,145.6525742,,Water depth [from the ground surface],m,AUS_10009228
10009360,AUS,-35.6357,149.8213,,Water depth [from the ground surface],m,AUS_10009360
10009363,AUS,-30.1826,147.5143,,Water depth [from the ground surface],m,AUS_10009363
10009376,AUS,-30.0587113,149.314756,,Water depth [from the ground surface],m,AUS_10009376
10009393,AUS,-33.3670013,145.1790051,,Water depth [from the ground surface],m,AUS_10009393
10009396,AUS,-32.3261075,147.8420198,,Water depth [from the ground surface],m,AUS_10009396
10009414,AUS,-31.0779,150.4389,,Water depth [from the ground surface],m,AUS_10009414
10009465,AUS,-32.350335,149.7553175,,Water depth [from the ground surface],m,AUS_10009465
10009483,AUS,-30.1726002,149.3072568,,Water depth [from the ground surface],m,AUS_10009483
10009499,AUS,-33.2566512,147.5064455,,Water depth [from the ground surface],m,AUS_10009499
10009501,AUS,-34.8508473,145.8919074,,Water depth [from the ground surface],m,AUS_10009501
10009502,AUS,-34.6654242,145.9076685,,Water depth [from the ground surface],m,AUS_10009502
10009511,AUS,-33.4778641,145.6525742,,Water depth [from the ground surface],m,AUS_10009511
10009533,AUS,-30.7437064,150.0505829,,Water depth [from the ground surface],m,AUS_10009533
10009720,AUS,-30.23871,149.5344762,,Water depth [from the ground surface],m,AUS_10009720
10009724,AUS,-30.2417659,149.4694772,,Water depth [from the ground surface],m,AUS_10009724
10009768,AUS,-33.3581442,145.3388832,,Water depth [from the ground surface],m,AUS_10009768
10009843,AUS,-30.462318,149.9966921,,Water depth [from the ground surface],m,AUS_10009843
10009889,AUS,-30.5345403,149.9800263,,Water depth [from the ground surface],m,AUS_10009889
10009891,AUS,-29.7945461,149.0855913,,Water depth [from the ground surface],m,AUS_10009891
10009912,AUS,-33.76395,142.2503166,,Water depth [from the ground surface],m,AUS_10009912
10009913,AUS,-30.2084322,149.5391982,,Water depth [from the ground surface],m,AUS_10009913
10009935,AUS,-31.555747,150.259108,,Water depth [from the ground surface],m,AUS_10009935
10009942,AUS,-33.9407333,151.2013167,,Water depth [from the ground surface],m,AUS_10009942
10009943,AUS,-34.0224,151.19785,,Water depth [from the ground surface],m,AUS_10009943
10010002,AUS,-30.5956508,150.0355815,,Water depth [from the ground surface],m,AUS_10010002
10010053,AUS,-32.6418212,151.4912635,,Water depth [from the ground surface],m,AUS_10010053
10010054,AUS,-35.4364491,145.2958322,,Water depth [from the ground surface],m,AUS_10010054
10010075,AUS,-29.4178733,149.6383614,,Water depth [from the ground surface],m,AUS_10010075
10010184,AUS,-32.1939294,148.24468,,Water depth [from the ground surface],m,AUS_10010184
10010185,AUS,-30.2551,145.6667,,Water depth [from the ground surface],m,AUS_10010185
10010298,AUS,-30.23871,149.5344762,,Water depth [from the ground surface],m,AUS_10010298
10010302,AUS,-30.2417659,149.4694772,,Water depth [from the ground surface],m,AUS_10010302
10010331,AUS,-30.496,150.0824,,Water depth [from the ground surface],m,AUS_10010331
10010345,AUS,-33.4750648,145.5300866,,Water depth [from the ground surface],m,AUS_10010345
10010351,AUS,-33.920444,151.221356,,Water depth [from the ground surface],m,AUS_10010351
10010431,AUS,-32.3600273,149.7672867,,Water depth [from the ground surface],m,AUS_10010431
10010470,AUS,-31.3438277,150.4482305,,Water depth [from the ground surface],m,AUS_10010470
10010526,AUS,-30.2853,145.7364,,Water depth [from the ground surface],m,AUS_10010526
10010544,AUS,-32.6386938,151.4922114,,Water depth [from the ground surface],m,AUS_10010544
10010553,AUS,-30.4320408,149.9041934,,Water depth [from the ground surface],m,AUS_10010553
10010639,AUS,-30.2542658,149.4928103,,Water depth [from the ground surface],m,AUS_10010639
10010899,AUS,-32.061645,148.2107777,,Water depth [from the ground surface],m,AUS_10010899
10010943,AUS,-31.124,150.999,,Water depth [from the ground surface],m,AUS_10010943
10011028,AUS,-30.3250992,149.473089,,Water depth [from the ground surface],m,AUS_10011028
10011116,AUS,-30.0276041,148.6094895,,Water depth [from the ground surface],m,AUS_10011116
10011128,AUS,-29.3153781,149.4361377,,Water depth [from the ground surface],m,AUS_10011128
10011141,AUS,-29.4178733,149.6383614,,Water depth [from the ground surface],m,AUS_10011141
10011143,AUS,-30.70186,150.10255,,Water depth [from the ground surface],m,AUS_10011143
10011153,AUS,-32.221209,148.0995883,,Water depth [from the ground surface],m,AUS_10011153
10011155,AUS,-32.4818035,150.4815605,,Water depth [from the ground surface],m,AUS_10011155
10011308,AUS,-28.7835212,152.9407102,,Water depth [from the ground surface],m,AUS_10011308
10011368,AUS,-32.33,148.0475,,Water depth [from the ground surface],m,AUS_10011368
10011369,AUS,-30.2366258,149.6710149,,Water depth [from the ground surface],m,AUS_10011369
10011385,AUS,-31.1289,150.9919,,Water depth [from the ground surface],m,AUS_10011385
10011416,AUS,-34.4611583,144.8475861,,Water depth [from the ground surface],m,AUS_10011416
10011719,AUS,-30.2537135,149.6839964,,Water depth [from the ground surface],m,AUS_10011719
10011863,AUS,-31.0665,151.0577,,Water depth [from the ground surface],m,AUS_10011863
10011867,AUS,-30.230315,145.6745653,,Water depth [from the ground surface],m,AUS_10011867
10011868,AUS,-30.2342585,149.6712209,,Water depth [from the ground surface],m,AUS_10011868
10012060,AUS,-30.2519,145.6791,,Water depth [from the ground surface],m,AUS_10012060
10012061,AUS,-30.2519,145.6791,,Water depth [from the ground surface],m,AUS_10012061
10012067,AUS,-30.4581515,149.9641926,,Water depth [from the ground surface],m,AUS_10012067
10012097,AUS,-30.2537135,149.6839964,,Water depth [from the ground surface],m,AUS_10012097
10012154,AUS,-30.6312063,150.0389152,,Water depth [from the ground surface],m,AUS_10012154
10012333,AUS,-32.1941483,148.2453513,,Water depth [from the ground surface],m,AUS_10012333
10012356,AUS,-33.5771,148.6722,,Water depth [from the ground surface],m,AUS_10012356
10012368,AUS,-33.1422826,145.3467354,,Water depth [from the ground surface],m,AUS_10012368
10012604,AUS,-31.5748143,150.6841938,,Water depth [from the ground surface],m,AUS_10012604
10012639,AUS,-35.747,145.1472,,Water depth [from the ground surface],m,AUS_10012639
10013003,AUS,-30.2359474,149.6711108,,Water depth [from the ground surface],m,AUS_10013003
10013064,AUS,-30.2853,145.7364,,Water depth [from the ground surface],m,AUS_10013064
10013097,AUS,-30.1814891,149.3011459,,Water depth [from the ground surface],m,AUS_10013097
